manager,nationality,start_date,end_date,is_incumbent,is_caretaker,duration_days,departure_reason,days_to_next_job,sacked_flag,club
Rémi Garde,France,02/11/2015,29/03/2016,0,0,148,,,,Aston Villa
Daniel Farke,Germany,25/05/2017,06/11/2021,0,0,1626,,,,Norwich
Daniel Farke,Germany,04/07/2023,,1,0,1092,,,,Leeds
Fabian Hürzeler,Germany,02/07/2024,,1,0,728,,,,Brighton
Felix Magath,Germany,14/02/2014,18/09/2014,0,0,216,,,,Fulham
Jan Siewert,Germany,21/01/2019,16/08/2019,0,0,207,,,,Huddersfield
Jürgen Klopp,Germany,08/10/2015,19/05/2024,0,0,3146,,,,Liverpool
Ralf Rangnick,Germany,03/12/2021,22/05/2022,0,1,170,,,,Man United
Thomas Tuchel,Germany,26/01/2021,07/09/2022,0,0,588,,,,Chelsea
Antonio Conte,ITA,02/11/2021,26/03/2023,0,0,509,,,,Tottenham
Cristian Stellini,ITA,26/03/2023,24/04/2023,0,1,29,,,,Tottenham
Avram Grant,Israel,20/09/2007,24/05/2008,0,0,238,,,,Chelsea
Avram Grant,Israel,03/06/2010,15/05/2011,0,0,346,,,,West Ham
Avram Grant,Israel,26/11/2009,21/05/2010,0,0,176,,,,Portsmouth
Antonio Conte,Italy,03/07/2016,13/07/2018,0,0,740,,,,Chelsea
Carlo Ancelotti,Italy,22/12/2019,01/06/2021,0,0,527,,,,Everton
Carlo Ancelotti,Italy,01/07/2009,22/05/2011,0,0,720,,,,Chelsea
Claudio Ranieri,Italy,14/11/2018,28/02/2019,0,0,106,,,,Fulham
Claudio Ranieri,Italy,04/10/2021,24/01/2022,0,0,112,,,,Watford
Claudio Ranieri,Italy,13/07/2015,23/02/2017,0,0,591,,,,Leicester
Enzo Maresca,Italy,01/07/2024,01/01/2026,0,0,549,,,,Chelsea
Francesco Guidolin,Italy,18/01/2016,03/10/2016,0,0,259,,,,Swansea
Gianfranco Zola,Italy,15/09/2008,11/05/2010,0,0,603,,,,West Ham
Maurizio Sarri,Italy,14/07/2018,16/06/2019,0,0,337,,,,Chelsea
Paolo Di Canio,Italy,31/03/2013,22/09/2013,0,0,175,,,,Sunderland
Roberto De Zerbi,Italy,31/03/2026,,1,0,91,,,,Tottenham
Roberto De Zerbi,Italy,18/09/2022,19/05/2024,0,0,1381,,,,Brighton
Roberto Di Matteo,Italy,04/03/2012,21/11/2012,0,0,262,,,,Chelsea
Roberto Di Matteo,Italy,30/06/2009,06/02/2011,0,0,586,,,,West Brom
Roberto Mancini,Italy,19/12/2009,13/05/2013,0,0,1241,,,,Man City
Walter Mazzarri,Italy,01/07/2016,21/05/2017,0,0,324,,,,Watford
Darren Moore,Jamaica,02/04/2018,09/03/2019,0,0,341,,,,West Brom
Arne Slot,Netherlands,01/06/2024,30/05/2026,0,0,728,,,,Liverpool
Dick Advocaat,Netherlands,17/03/2015,04/10/2015,0,0,201,,,,Sunderland
Erik ten Hag,Netherlands,01/06/2022,28/10/2024,0,0,880,,,,Man United
Frank de Boer,Netherlands,26/06/2017,11/09/2017,0,0,77,,,,Crystal Palace
Guus Hiddink,Netherlands,19/12/2015,15/05/2016,0,1,148,,,,Chelsea
Guus Hiddink,Netherlands,16/02/2009,31/05/2009,0,1,104,,,,Chelsea
Louis van Gaal,Netherlands,14/07/2014,23/05/2016,0,0,679,,,,Man United
Martin Jol,Netherlands,05/11/2004,25/10/2007,0,0,1084,,,,Tottenham
Martin Jol,Netherlands,07/06/2011,01/12/2013,0,0,908,,,,Fulham
René Meulensteen,Netherlands,01/12/2013,14/02/2014,0,0,75,,,,Fulham
Ronald Koeman,Netherlands,16/06/2014,14/06/2016,0,0,729,,,,Southampton
Ronald Koeman,Netherlands,14/06/2016,23/10/2017,0,0,496,,,,Everton
Ruud van Nistelrooy,Netherlands,01/12/2024,27/06/2025,0,0,208,,,,Leicester
Ruud van Nistelrooy,Netherlands,28/10/2024,11/11/2024,0,1,14,,,,Man United
Brendan Rodgers,Northern Ireland,16/07/2010,01/06/2012,0,0,686,,,,Swansea
Brendan Rodgers,Northern Ireland,01/06/2012,04/10/2015,0,0,1220,,,,Liverpool
Brendan Rodgers,Northern Ireland,27/02/2019,02/04/2023,0,0,1495,,,,Leicester
Iain Dowie,Northern Ireland,22/12/2003,22/05/2006,0,0,882,,,,Crystal Palace
Iain Dowie,Northern Ireland,17/03/2010,09/05/2010,0,0,53,,,,Hull
Iain Dowie,Northern Ireland,30/05/2006,13/11/2006,0,0,167,,,,Charlton
Kieran McKenna,Northern Ireland,16/12/2021,10/06/2026,0,0,1637,,,,Ipswich
Lawrie Sanchez,Northern Ireland,11/04/2007,21/12/2007,0,0,254,,,,Fulham
Martin O'Neill,Northern Ireland,03/12/2011,30/03/2013,0,0,483,,,,Sunderland
Martin O'Neill,Northern Ireland,05/08/2006,09/08/2010,0,0,1465,,,,Aston Villa
Nigel Worthington,Northern Ireland,04/12/2000,02/10/2006,0,0,2128,,,,Norwich
Ole Gunnar Solskjær,Norway,02/01/2014,18/09/2014,0,0,259,,,,Cardiff
Ole Gunnar Solskjær,Norway,19/12/2018,21/11/2021,0,0,1068,,,,Man United
André Villas-Boas,Portugal,22/06/2011,04/03/2012,0,0,256,,,,Chelsea
André Villas-Boas,Portugal,06/07/2012,16/12/2013,0,0,528,,,,Tottenham
Bruno Lage,Portugal,09/06/2021,02/10/2022,0,0,480,,,,Wolves
Carlos Carvalhal,Portugal,28/12/2017,18/05/2018,0,0,141,,,,Swansea
José Mourinho,Portugal,20/11/2019,19/04/2021,0,0,516,,,,Tottenham
José Mourinho,Portugal,03/06/2013,17/12/2015,0,0,927,,,,Chelsea
José Mourinho,Portugal,27/05/2016,18/12/2018,0,0,935,,,,Man United
