season,team,actual_finish_this_season,prior_season_position,expectation_baseline,source
1516,Norwich,19,,17,promoted_assumed
1516,Aston Villa,20,16,16,prior_finish
1617,Chelsea,1,10,10,prior_finish
1617,Tottenham,2,3,3,prior_finish
1617,Man City,3,4,4,prior_finish
1617,Liverpool,4,8,8,prior_finish
1617,Arsenal,5,2,2,prior_finish
1617,Man United,6,4,4,prior_finish
1617,Everton,7,11,11,prior_finish
1617,Southampton,8,6,6,prior_finish
1617,Bournemouth,8,15,15,prior_finish
1617,West Brom,10,14,14,prior_finish
1617,West Ham,10,7,7,prior_finish
1617,Stoke,12,9,9,prior_finish
1617,Leicester,12,1,1,prior_finish
1617,Swansea,14,11,11,prior_finish
1617,Crystal Palace,14,15,15,prior_finish
1617,Watford,16,13,13,prior_finish
1617,Burnley,16,,17,promoted_assumed
1617,Hull,18,,17,promoted_assumed
1617,Middlesbrough,19,,17,promoted_assumed
1617,Sunderland,20,17,17,prior_finish
1718,Man City,1,3,3,prior_finish
1718,Man United,2,6,6,prior_finish
1718,Tottenham,3,2,2,prior_finish
1718,Liverpool,4,4,4,prior_finish
1718,Chelsea,5,1,1,prior_finish
1718,Arsenal,6,5,5,prior_finish
1718,Burnley,7,16,16,prior_finish
1718,Everton,8,7,7,prior_finish
1718,Leicester,9,12,12,prior_finish
1718,Newcastle,10,,17,promoted_assumed
1718,Bournemouth,10,8,8,prior_finish
1718,Crystal Palace,10,14,14,prior_finish
1718,West Ham,13,10,10,prior_finish
1718,Watford,14,16,16,prior_finish
1718,Brighton,15,,17,promoted_assumed
1718,Huddersfield,16,,17,promoted_assumed
1718,Southampton,17,8,8,prior_finish
1718,Swansea,18,14,14,prior_finish
1718,Stoke,18,12,12,prior_finish
1718,West Brom,20,10,10,prior_finish
1819,Man City,1,1,1,prior_finish
1819,Liverpool,2,4,4,prior_finish
1819,Chelsea,3,5,5,prior_finish
1819,Tottenham,4,3,3,prior_finish
1819,Arsenal,5,6,6,prior_finish
1819,Man United,6,2,2,prior_finish
1819,Wolves,7,,17,promoted_assumed
1819,Everton,8,8,8,prior_finish
1819,Leicester,9,9,9,prior_finish
1819,West Ham,9,13,13,prior_finish
1819,Watford,11,14,14,prior_finish
1819,Crystal Palace,12,10,10,prior_finish
1819,Newcastle,13,10,10,prior_finish
1819,Bournemouth,13,10,10,prior_finish
1819,Burnley,15,7,7,prior_finish
1819,Southampton,16,17,17,prior_finish
1819,Brighton,17,15,15,prior_finish
1819,Cardiff,18,,17,promoted_assumed
1819,Fulham,19,,17,promoted_assumed
1819,Huddersfield,20,16,16,prior_finish
1920,Liverpool,1,2,2,prior_finish
1920,Man City,2,1,1,prior_finish
1920,Chelsea,3,3,3,prior_finish
1920,Man United,3,6,6,prior_finish
1920,Leicester,5,9,9,prior_finish
1920,Wolves,6,7,7,prior_finish
1920,Tottenham,6,4,4,prior_finish
1920,Arsenal,8,5,5,prior_finish
1920,Sheffield United,9,,17,promoted_assumed
1920,Burnley,9,15,15,prior_finish
1920,Southampton,11,16,16,prior_finish
1920,Everton,12,8,8,prior_finish
1920,Newcastle,13,13,13,prior_finish
1920,Crystal Palace,14,12,12,prior_finish
1920,Brighton,15,17,17,prior_finish
1920,West Ham,16,9,9,prior_finish
1920,Aston Villa,17,,17,promoted_assumed
1920,Bournemouth,18,13,13,prior_finish
1920,Watford,18,11,11,prior_finish
1920,Norwich,20,,17,promoted_assumed
2021,Man City,1,2,2,prior_finish
2021,Man United,2,3,3,prior_finish
2021,Liverpool,3,1,1,prior_finish
2021,Chelsea,4,3,3,prior_finish
2021,Leicester,5,5,5,prior_finish
2021,West Ham,6,16,16,prior_finish
2021,Tottenham,7,6,6,prior_finish
2021,Arsenal,8,8,8,prior_finish
2021,Everton,9,12,12,prior_finish
2021,Leeds,9,,17,promoted_assumed
2021,Aston Villa,11,17,17,prior_finish
2021,Newcastle,12,13,13,prior_finish
2021,Wolves,12,6,6,prior_finish
2021,Crystal Palace,14,14,14,prior_finish
2021,Southampton,15,11,11,prior_finish
2021,Brighton,16,15,15,prior_finish
2021,Burnley,17,9,9,prior_finish
2021,Fulham,18,,17,promoted_assumed
2021,West Brom,19,,17,promoted_assumed
2021,Sheffield United,20,9,9,prior_finish
2122,Man City,1,1,1,prior_finish
2122,Liverpool,2,3,3,prior_finish
2122,Chelsea,3,4,4,prior_finish
2122,Tottenham,4,7,7,prior_finish
2122,Arsenal,5,8,8,prior_finish
2122,Man United,6,2,2,prior_finish
2122,West Ham,7,6,6,prior_finish
2122,Leicester,8,5,5,prior_finish
2122,Brighton,9,16,16,prior_finish
2122,Wolves,9,12,12,prior_finish
2122,Newcastle,11,12,12,prior_finish
2122,Crystal Palace,12,14,14,prior_finish
2122,Brentford,13,,17,promoted_assumed
2122,Aston Villa,14,11,11,prior_finish
2122,Southampton,15,15,15,prior_finish
2122,Everton,16,9,9,prior_finish
2122,Leeds,17,9,9,prior_finish
2122,Burnley,18,17,17,prior_finish
2122,Watford,19,,17,promoted_assumed
2122,Norwich,20,,17,promoted_assumed
2223,Man City,1,1,1,prior_finish
2223,Arsenal,2,5,5,prior_finish
2223,Man United,3,6,6,prior_finish
2223,Newcastle,4,11,11,prior_finish
2223,Liverpool,5,2,2,prior_finish
2223,Brighton,6,9,9,prior_finish
2223,Aston Villa,7,14,14,prior_finish
2223,Tottenham,8,4,4,prior_finish
2223,Brentford,9,13,13,prior_finish
2223,Fulham,10,,17,promoted_assumed
2223,Crystal Palace,11,12,12,prior_finish
2223,Chelsea,12,3,3,prior_finish
2223,Wolves,13,9,9,prior_finish
2223,West Ham,14,7,7,prior_finish
2223,Bournemouth,15,,17,promoted_assumed
2223,Nott'm Forest,16,,17,promoted_assumed
2223,Everton,17,16,16,prior_finish
2223,Leicester,18,8,8,prior_finish
2223,Leeds,19,17,17,prior_finish
2223,Southampton,20,15,15,prior_finish
2324,Man City,1,1,1,prior_finish
2324,Arsenal,2,2,2,prior_finish
2324,Liverpool,3,5,5,prior_finish
2324,Aston Villa,4,7,7,prior_finish
2324,Tottenham,5,8,8,prior_finish
2324,Chelsea,6,12,12,prior_finish
2324,Man United,7,3,3,prior_finish
2324,Newcastle,7,4,4,prior_finish
2324,West Ham,9,14,14,prior_finish
2324,Crystal Palace,10,11,11,prior_finish
2324,Everton,11,17,17,prior_finish
2324,Bournemouth,11,15,15,prior_finish
2324,Brighton,11,6,6,prior_finish
2324,Fulham,14,10,10,prior_finish
2324,Wolves,15,13,13,prior_finish
2324,Brentford,16,9,9,prior_finish
2324,Nott'm Forest,17,16,16,prior_finish
2324,Luton,18,,17,promoted_assumed
2324,Burnley,19,,17,promoted_assumed
2324,Sheffield United,20,,17,promoted_assumed
2425,Liverpool,1,3,3,prior_finish
2425,Arsenal,2,2,2,prior_finish
2425,Man City,3,1,1,prior_finish
2425,Chelsea,4,6,6,prior_finish
2425,Newcastle,5,7,7,prior_finish
2425,Aston Villa,5,4,4,prior_finish
2425,Nott'm Forest,7,17,17,prior_finish
2425,Brighton,8,11,11,prior_finish
2425,Brentford,9,16,16,prior_finish
2425,Bournemouth,9,11,11,prior_finish
2425,Fulham,11,14,14,prior_finish
2425,Crystal Palace,12,10,10,prior_finish
2425,Everton,13,11,11,prior_finish
2425,West Ham,14,9,9,prior_finish
2425,Man United,15,7,7,prior_finish
2425,Wolves,15,15,15,prior_finish
2425,Tottenham,17,5,5,prior_finish
2425,Leicester,18,,17,promoted_assumed
2425,Ipswich,19,,17,promoted_assumed
2425,Southampton,20,,17,promoted_assumed
2526,Arsenal,1,2,2,prior_finish
2526,Man City,2,3,3,prior_finish
2526,Man United,3,15,15,prior_finish
2526,Aston Villa,4,5,5,prior_finish
2526,Liverpool,5,1,1,prior_finish
2526,Bournemouth,6,9,9,prior_finish
2526,Sunderland,7,,17,promoted_assumed
2526,Brentford,8,9,9,prior_finish
2526,Brighton,8,8,8,prior_finish
2526,Chelsea,10,4,4,prior_finish
2526,Fulham,10,11,11,prior_finish
2526,Newcastle,12,5,5,prior_finish
2526,Everton,12,13,13,prior_finish
2526,Leeds,14,,17,promoted_assumed
2526,Crystal Palace,15,12,12,prior_finish
2526,Nott'm Forest,16,7,7,prior_finish
2526,Tottenham,17,17,17,prior_finish
2526,West Ham,18,14,14,prior_finish
2526,Burnley,19,,17,promoted_assumed
2526,Wolves,20,15,15,prior_finish
